time_s,gyro_y_deg_s,gyro_y_filtered
0.0,0.05,0.049944925787617556
0.02,0.17701692886970688,0.1614863431219644
0.04,0.2757526169987813,0.2731038029960736
0.06,0.38751003158520897,0.396463620613617
0.08,0.5353977496393221,0.5424275173222505
0.1,0.699997955647436,0.6982909323643963
0.12,0.8347175901930505,0.8280768717106911
0.14,0.9066321860405963,0.9023128246529581
0.16,0.9249598767273258,0.9264205198939904
0.18,0.9307792992737809,0.9359054501014881
0.2,0.9575758787095242,0.9615226009589684
0.22,0.9992731351196381,0.9986914066553769
0.24,1.0154470669168671,1.0110597895197455
0.26,0.9688925408366512,0.9647086209087548
0.28,0.8606661821701178,0.860455458668745
0.3,0.7300623930570419,0.7339985403912975
0.32,0.6195230431398391,0.6239952924048113
0.34,0.5370252810049831,0.5379117005562077
0.36,0.4508240123643549,0.4472950124845968
0.38,0.321381093573757,0.31669584674529855
0.4,0.1407840832830515,0.13928754912928712
0.42,-0.057001294930771496,-0.053913978888876085
0.44,-0.224628794041,-0.21981895078247818
0.46,-0.3422325743854631,-0.34016596041728164
0.48,-0.43278852087253805,-0.43538614542374643
0.5,-0.537785252292473,-0.5426364776407081
0.52,-0.6758586300498992,-0.6784590667149905
0.54,-0.8228559494491301,-0.8207907340001058
0.56,-0.9318969615006774,-0.9270833359850004
0.58,-0.9748617353802989,-0.9717687560727202
0.6,-0.9668364010099414,-0.9683355657408045
0.62,-0.9508603145841577,-0.955559773944284
0.64,-0.9571628791489378,-0.9606997838644115
0.66,-0.9747507045625602,-0.9738415589194578
0.68,-0.9617299969153303,-0.9572188277796569
0.7000000000000001,-0.8847787752207624,-0.8808535190354928
0.72,-0.7511118547596383,-0.7514165107261133
0.74,-0.6032406275672512,-0.607492379040746
0.76,-0.48135929595910276,-0.4856110185516006
0.78,-0.38823414086073665,-0.38853867017463584
0.8,-0.2891407368836018,-0.28521530642604814
0.8200000000000001,-0.14685053914562768,-0.14233944872165039
0.84,0.040875252450482326,0.04178388836934292
0.86,0.23615841188547712,0.23262111886104458
0.88,0.3930720812309487,0.38837330764139755
0.9,0.4972045238204623,0.4957068384412224
0.92,0.5760590982071709,0.5791520100994556
0.9400000000000001,0.6707032898221833,0.6755136282602953
0.96,0.79505028613893,0.7971124004504346
0.98,0.9206327639002131,0.9180363154078077
1.0,1.0010565162951535,0.9962157716032711
1.02,1.0134772839568178,1.010881246018364
1.04,0.9786320796255624,0.9806777157580846
1.06,0.9408556906309273,0.9456417061777618
1.08,0.9266505895299417,0.9297597012932071
1.1,0.9202779021847669,0.9188536118825505
1.12,0.8790250572522441,0.8743632432504602
1.1400000000000001,0.7739615487292446,0.7703003765516778
1.16,0.6183222955614152,0.6190300214612803
1.18,0.45713437734134943,0.4617164165722568
1.2,0.3276737029659305,0.33209972401866017
1.22,0.22741028692584728,0.22744018521180012
1.24,0.11914213953012692,0.11414184378704335
1.26,-0.03151147152573967,-0.037207218310870815
1.28,-0.22113123497291542,-0.2212344460947282
1.3,-0.40857540240342455,-0.4013733796538583
1.32,-0.5501120259301737,-0.5429167434776841
1.34,-0.6370604270199867,-0.6406739431827586
1.36,-0.7010646859871027,-0.7142303448461597
1.3800000000000001,-0.7821667411393816,-0.782257174074017
1.4000000000000001,,
1.42,,
1.44,,
1.46,-1.02121000878207,-1.0211877018043594
1.48,-0.959894604458918,-0.9535216822752539
1.5,-0.9010565162951537,-0.9038771240255236
1.52,-0.867050084402314,-0.8730128207160911
1.54,-0.8376282152954373,-0.8378731399605377
1.56,-0.7699147599536309,-0.7645208321381387
1.58,-0.6398014971820403,-0.6353591964273145
1.6,-0.46630282438296755,-0.4674620288601906
1.62,-0.29621376511808534,-0.3013892697581543
1.6400000000000001,-0.16326154914333682,-0.16717292227243594
1.6600000000000001,-0.05961338390905532,-0.05865195416373259
1.68,0.053872890556801126,0.05858235403781091
1.7,0.2082390374461072,0.21222973168380171
1.72,0.39451319281366704,0.3941457171563857
1.74,0.5689899639634879,0.5646792745615645
1.76,0.6908712955716377,0.6866221733402647
1.78,0.7573909067125691,0.7571149263836869
1.8,0.8038770757832674,0.8078140595475205
1.82,0.8687523483265053,0.8732554052278132
1.84,0.9560125731039876,0.9569125575181341
1.86,1.030059741891079,1.0265225152164055
1.8800000000000001,1.0477186306970208,1.0430233214462037
1.9000000000000001,0.9977381004474362,0.9962408322379923
1.92,0.9111193364054305,0.9142109997278385
1.94,0.8326854913692299,0.8374976330308229
1.96,0.7802780202926235,0.7823436335063014
1.98,0.7294413095477992,0.7268421437145269
2.0,0.6377852522924736,0.6329337788863786
2.02,0.48637120037043907,0.48377135447783903
2.04,0.29965464522895574,0.3017202295637027
2.06,0.1254173239095525,0.13023082636788585
2.08,-0.006741104044096127,-0.0036483686253023367
2.1,-0.10988238384555753,-0.11138161675502242
2.12,-0.22452277746089355,-0.22922216240897647
2.14,-0.37792714962221463,-0.381463989823869
2.16,-0.5557634124635548,-0.5548542764517347
2.18,-0.7125006917286644,-0.7079895759067638
2.2,-0.8109640924945373,-0.8070388776445168
2.22,-0.854387130217186,-0.8546917679488111
2.24,-0.8812618728322648,-0.8855135407005584
2.2600000000000002,-0.9278163989124812,-0.9320680605766605
2.2800000000000002,-0.9929940831667068,-0.9932987052968147
2.3000000000000003,-1.0384775781470192,-1.0345523518720976
2.32,-1.0237569478626065,-1.0192458442616708
2.34,-0.9436980081858991,-0.9427889017586129
2.36,-0.8337353232984566,-0.8372721585763938
2.38,-0.7378592740801879,-0.7425585792294411
2.4,-0.6690962562099411,-0.6705954070311367
2.42,-0.5991401486141925,-0.5960474880767588
2.44,-0.48672150171665773,-0.481908231258268
2.46,-0.3183305461552886,-0.3162650094043931
2.48,-0.12343424937180916,-0.12603362607936977
2.5,0.04999999999999927,0.04514910268911028
2.52,0.17701692886970788,0.1744173344111554
2.54,0.27575261699877973,0.2778165951059694
2.56,0.3875100315852086,0.39232151910715707
2.58,0.5353977496393227,0.5384922976849259
2.6,0.6999979556474347,0.6985049053550896
2.62,0.8347175901930503,0.8300202033202156
2.64,0.9066321860405964,0.9030839031565382
2.66,0.924959876727325,0.9258535783572595
2.68,0.9307792992737809,0.9352999628758508
2.7,0.9575758787095241,0.9615434431661987
2.72,0.999273135119639,0.998989110158103
2.74,1.0154470669168674,1.0111245441000032
2.7600000000000002,0.9688925408366504,0.9645277717578863
2.7800000000000002,0.8606661821701183,0.8604035475724585
2.8000000000000003,0.7300623930570416,0.7342709147315248
2.82,0.6195230431398401,0.6242193526739612
2.84,0.5370252810049824,0.5375069556871566
2.86,0.4508240123643564,0.44647506423866135
2.88,0.32138109357375816,0.3168088119929195
2.9,0.14078408328305203,0.14114119858963847
2.92,-0.05700129493076911,-0.05241490656923113
2.94,-0.22462879404099892,-0.22240221336806612
2.96,-0.34223257438546295,-0.3455950348697948
2.98,-0.4327885208725361,-0.4327552038332147
