visual_sample_index,visual_time_s,imu_nearest_sample_index,imu_nearest_time_s,timing_error_s,timing_error_ms,abs_timing_error_ms,imu_sample_reuse_count,VIS__time_s,VIS__wrist_height_m,IMU__time_s,IMU__gyro_y_deg_s,IMU__gyro_y_filtered
0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,1.2,0.0,0.05,0.049944925787617556
1,0.016666666666666666,1,0.02,0.003333333333333334,3.333333333333334,3.333333333333334,1,0.016666666666666666,1.231333308391076,0.02,0.17701692886970688,0.1614863431219644
2,0.03333333333333333,2,0.04,0.006666666666666668,6.666666666666668,6.666666666666668,1,0.03333333333333333,1.2621724717912137,0.04,0.2757526169987813,0.2731038029960736
3,0.05,3,0.06,0.009999999999999995,9.999999999999995,9.999999999999995,2,0.05,1.2920311381711695,0.06,0.38751003158520897,0.396463620613617
4,0.06666666666666667,3,0.06,-0.006666666666666668,-6.666666666666668,6.666666666666668,2,0.06666666666666667,1.3204384185254288,0.06,0.38751003158520897,0.396463620613617
5,0.08333333333333333,4,0.08,-0.003333333333333327,-3.333333333333327,3.333333333333327,1,0.08333333333333333,1.3469463130731183,0.08,0.5353977496393221,0.5424275173222505
6,0.1,5,0.1,0.0,0.0,0.0,1,0.1,1.3711367764821722,0.1,0.699997955647436,0.6982909323643963
7,0.11666666666666667,6,0.12,0.003333333333333327,3.333333333333327,3.333333333333327,1,0.11666666666666667,1.3926283106939472,0.12,0.8347175901930505,0.8280768717106911
8,0.13333333333333333,7,0.14,0.006666666666666682,6.666666666666682,6.666666666666682,2,0.13333333333333333,1.4110819813755038,0.14,0.9066321860405963,0.9023128246529581
9,0.15,7,0.14,-0.009999999999999981,-9.99999999999998,9.99999999999998,2,0.15,1.4262067631165047,0.14,0.9066321860405963,0.9023128246529581
10,0.16666666666666666,8,0.16,-0.006666666666666654,-6.666666666666654,6.666666666666654,1,0.16666666666666666,1.4377641290737884,0.16,0.9249598767273258,0.9264205198939904
11,0.18333333333333332,9,0.18,-0.003333333333333327,-3.333333333333327,3.333333333333327,1,0.18333333333333332,1.4455718126821722,0.18,0.9307792992737809,0.9359054501014881
12,0.2,10,0.2,0.0,0.0,0.0,1,0.2,1.449506682107068,0.2,0.9575758787095242,0.9615226009589684
13,0.21666666666666667,11,0.22,0.003333333333333327,3.333333333333327,3.333333333333327,1,0.21666666666666667,1.449506682107068,0.22,0.9992731351196381,0.9986914066553769
14,0.23333333333333334,12,0.24,0.006666666666666654,6.666666666666654,6.666666666666654,2,0.23333333333333334,1.4455718126821722,0.24,1.0154470669168671,1.0110597895197455
15,0.25,12,0.24,-0.010000000000000009,-10.000000000000009,10.000000000000009,2,0.25,1.4377641290737884,0.24,1.0154470669168671,1.0110597895197455
16,0.26666666666666666,13,0.26,-0.006666666666666654,-6.666666666666654,6.666666666666654,1,0.26666666666666666,1.4262067631165047,0.26,0.9688925408366512,0.9647086209087548
17,0.2833333333333333,14,0.28,-0.0033333333333332993,-3.3333333333332993,3.3333333333332993,1,0.2833333333333333,1.4110819813755038,0.28,0.8606661821701178,0.860455458668745
18,0.3,15,0.3,0.0,0.0,0.0,1,0.3,1.3926283106939472,0.3,0.7300623930570419,0.7339985403912975
19,0.31666666666666665,16,0.32,0.003333333333333355,3.333333333333355,3.333333333333355,1,0.31666666666666665,1.3711367764821722,0.32,0.6195230431398391,0.6239952924048113
20,0.3333333333333333,17,0.34,0.00666666666666671,6.66666666666671,6.66666666666671,2,0.3333333333333333,1.3469463130731183,0.34,0.5370252810049831,0.5379117005562077
21,0.35,17,0.34,-0.009999999999999953,-9.999999999999954,9.999999999999954,2,0.35,1.3204384185254288,0.34,0.5370252810049831,0.5379117005562077
22,0.36666666666666664,18,0.36,-0.006666666666666654,-6.666666666666654,6.666666666666654,1,0.36666666666666664,1.2920311381711695,0.36,0.4508240123643549,0.4472950124845968
23,0.3833333333333333,19,0.38,-0.0033333333333332993,-3.3333333333332993,3.3333333333332993,1,0.3833333333333333,1.2621724717912137,0.38,0.321381093573757,0.31669584674529855
24,0.4,20,0.4,0.0,0.0,0.0,1,0.4,1.231333308391076,0.4,0.1407840832830515,0.13928754912928712
25,0.4166666666666667,21,0.42,0.0033333333333332993,3.3333333333332993,3.3333333333332993,1,0.4166666666666667,1.2,0.42,-0.057001294930771496,-0.053913978888876085
26,0.43333333333333335,22,0.44,0.006666666666666654,6.666666666666654,6.666666666666654,2,0.43333333333333335,1.168666691608924,0.44,-0.224628794041,-0.21981895078247818
27,0.45,22,0.44,-0.010000000000000009,-10.000000000000009,10.000000000000009,2,0.45,1.1378275282087864,0.44,-0.224628794041,-0.21981895078247818
28,0.4666666666666667,23,0.46,-0.006666666666666654,-6.666666666666654,6.666666666666654,1,0.4666666666666667,1.1079688618288306,0.46,-0.3422325743854631,-0.34016596041728164
29,0.48333333333333334,24,0.48,-0.003333333333333355,-3.333333333333355,3.333333333333355,1,0.48333333333333334,1.0795615814745712,0.48,-0.43278852087253805,-0.43538614542374643
30,0.5,25,0.5,0.0,0.0,0.0,1,0.5,1.0530536869268816,0.5,-0.537785252292473,-0.5426364776407081
31,0.5166666666666666,26,0.52,0.0033333333333334103,3.3333333333334103,3.3333333333334103,1,0.5166666666666666,1.0288632235178279,0.52,-0.6758586300498992,-0.6784590667149905
32,0.5333333333333333,27,0.54,0.00666666666666671,6.66666666666671,6.66666666666671,2,0.5333333333333333,1.0073716893060527,0.54,-0.8228559494491301,-0.8207907340001058
33,0.55,27,0.54,-0.010000000000000009,-10.000000000000009,10.000000000000009,2,0.55,0.9889180186244961,0.54,-0.8228559494491301,-0.8207907340001058
34,0.5666666666666667,28,0.56,-0.006666666666666599,-6.666666666666599,6.666666666666599,1,0.5666666666666667,0.9737932368834952,0.56,-0.9318969615006774,-0.9270833359850004
35,0.5833333333333334,29,0.58,-0.0033333333333334103,-3.3333333333334103,3.3333333333334103,1,0.5833333333333334,0.9622358709262115,0.58,-0.9748617353802989,-0.9717687560727202
36,0.6,30,0.6,0.0,0.0,0.0,1,0.6,0.9544281873178277,0.6,-0.9668364010099414,-0.9683355657408045
37,0.6166666666666667,31,0.62,0.0033333333333332993,3.3333333333332993,3.3333333333332993,1,0.6166666666666667,0.950493317892932,0.62,-0.9508603145841577,-0.955559773944284
38,0.6333333333333333,32,0.64,0.00666666666666671,6.66666666666671,6.66666666666671,2,0.6333333333333333,0.950493317892932,0.64,-0.9571628791489378,-0.9606997838644115
